Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
2771008100693.0;Чернила ОСР 153 GY для картриджей CAN CLI-471GY, 100 g;;570.0;7.23;;;;;C7VO
2771008100679.0;Чернила ОСР 153 M  для картриджей CAN CLI-471M, 100 g;;570.0;7.23;;;;;C7VO
2771008100686.0;Чернила ОСР 153 Y  для картриджей CAN CLI-471Y, 100 g;;570.0;7.23;;;;;C7VO
2771008100372.0;Чернила ОСР 154 C для картриджей CAN CLI-221/426/521/821, 100 g;;610.0;7.37;;;;;C7VO
2771008100570.0;Чернила ОСР 157 BK для картриджей CAN CL-42GY, 100 g;;260.0;2.84;;;;;C7VO
2771008100587.0;Чернила ОСР 158 BK для картриджей CAN CL-42LGY, 100 g;;260.0;2.84;;;;;C7VO
2771008100594.0;Чернила ОСР 158 C для картриджей CAN CL-42C, 100 g;;260.0;2.84;;;;;C7VO
2771008100600.0;Чернила ОСР 158 M для картриджей CAN CL-42M, 100 g;;260.0;2.84;;;;;C7VO
2771008100617.0;Чернила ОСР 158 Y для картриджей CAN CL-42Y, 100 g;;260.0;2.84;;;;;C7VO
2771008100624.0;Чернила ОСР 159 BK для картриджей CAN CL-42BK, 100 g;;500.0;5.79;;;;;C7VO
2771008100631.0;Чернила ОСР 159 CL для картриджей CAN CL-42PC, 100 g;;260.0;2.84;;;;;C7VO
2771008100648.0;Чернила ОСР 159 ML для картриджей CAN CL-42PM, 100 g;;260.0;2.84;;;;;C7VO
2771008100440.0;Чернила ОСР 235 BKP Pigment Black для картриджей CAN PGI-450Bk, 100 g;;700.0;8.34;;;;;C7VO
2771008100099.0;Чернила ОСР 44 BKP для картриджей CAN PGI-5/521/425,PG-37/40/50/510/512, 100 g;;700.0;7.9;;;;;C7VO
2771008100259.0;Чернила ОСР 47 Y для картриджей CAN BCI-6, 100 g;;300.0;3.45;;;;;C7VO
2771008100181.0;Чернила ОСР 49 M для картриджей CAN BCI-6, 100 g;;300.0;3.45;;;;;C7VO
2771008100280.0;Чернила ОСР 68 BK для картриджей CAN BCI-21/BCI-6, 100 g;;360.0;4.23;;;;;C7VO
2771008100419.0;Чернила ОСР 710 C  для картриджей CAN CL-441 Cyan, 100 g;;260.0;3.12;;;;;C7VO
2771008100433.0;Чернила ОСР 710 Y  для картриджей CAN CL-441 Yelllow, 100 g;;260.0;3.12;;;;;C7VO
2771008100426.0;Чернила ОСР 710 М для картриджей CAN CL-441 Magenta, 100 g;;260.0;3.12;;;;;C7VO
2771008100389.0;Чернила ОСР 712 C  для картриджей CAN CL-511/513 Cyan, 100 g;;260.0;3.12;;;;;C7VO
2771008100396.0;Чернила ОСР 712 M для картриджей CAN CL-511/513 Magenta, 100 g;;260.0;3.12;;;;;C7VO
2771008100402.0;Чернила ОСР 712 Y для картриджей CAN CL-511/513 Yellow, 100 g;;260.0;3.12;;;;;C7VO
2771008100297.0;Чернила ОСР 795 C  для картриджей CAN CL-41, 100 g;;320.0;3.73;;;;;C7VO
2771008100303.0;Чернила ОСР 795 M  для картриджей CAN CL-41, 100 g;;320.0;3.73;;;;;C7VO
2771008100310.0;Чернила ОСР 795 Y  для картриджей CAN CL-41, 100 g;;320.0;3.73;;;;;C7VO
2771008100358.0;Чернила ОСР 797 BK для картриджей CAN CL-52, 100 g;;420.0;4.79;;;;;C7VO
;ОСР для EPSON 0.1 kg;;;;;;;;
2773105120857.0;Комплект чернил ОСР для EPS (ВКP115, C/M/Y140), 100 g x4;;1980.0;22.51;;;;;7VEO
2773105120864.0;Комплект чернил ОСР для EPS (ВКP115, C142, M/Y140) , 100 g x4;;1560.0;18.28;;;;;7VEO
2773105120963.0;Комплект чернил ОСР для EPS 11880 (ВКP202/203/201/200,СP200,CPL201,YP200,MP209,MPL210), 100 g x9;;6270.0;74.87;;;;;7VEO
2773105120321.0;Комплект чернил ОСР для EPS Clar (340), повышенной светостойкости + RSL, 100 g x 7;;2590.0;30.69;;;;;7VEO
2773105120338.0;Комплект чернил ОСР для EPS Clar (340), повышенной светостойкости, 100 g x 6;;2440.0;28.94;;;;;7VEO
2773105120314.0;Комплект чернил ОСР для EPS Clar (ВК140(340),С142,М/Y140,ML/CL141), 100 g x6;;2070.0;24.71;;;;;7VEO
2773105120307.0;Комплект чернил ОСР для EPS Clar+RSL (ВК140(340),С142,М/Y140,ML/CL141,RSL), 100 g x7;;2220.0;26.47;;;;;7VEO
2773105120376.0;Комплект чернил ОСР для EPS Dura (ВКP/CP115,MP/YP102), 100 g x4;;2500.0;29.3;;;;;7VEO
2773105120369.0;Комплект чернил ОСР для EPS Dura RS STABLE (ВКP110, CP115,MP/YP102), 100 g x4;;2470.0;28.88;;;;;7VEO
2773105120352.0;Комплект чернил ОСР для EPS Dura RS STABLE+RSL (ВКP110, CP115,MP/YP102,RSL), 100 g x5;;2610.0;30.64;;;;;7VEO
2773105120345.0;Комплект чернил ОСР для EPS Dura+RSL (ВКP/CP115,MP/YP102,RSL), 100 g x5;;2640.0;31.04;;;;;7VEO
2773105120420.0;Комплект чернил ОСР для EPS R1900/R2000 (EGO,BKP110/111,CP110,YP116,RP110,MP110,OP110), 100 g x8;;5150.0;60.77;;;;;7VEO
2773105120444.0;Комплект чернил ОСР для EPS R200 (ВК73,С76,CL77,М72,ML73,Y61), 100 g x6;;2050.0;24.01;;;;;7VEO
2773105120437.0;Комплект чернил ОСР для EPS R200+RSL (ВК73,С76,CL77,М72,ML73,Y61,RSL), 100 g x7;;2200.0;25.75;;;;;7VEO
2773105120406.0;Комплект чернил ОСР для EPS R2100/R2200(ВКP114/115/201,СP115,YP102,MP117,MPL/CPL118), 100 g x8;;5040.0;59.58;;;;;7VEO
2773105120390.0;Комплект чернил ОСР для EPS R2100/R2200+RSL(ВКP114/115/201,СP115,YP102,MP117,MPL/CPL118,RSL),100g x9;;5190.0;61.32;;;;;7YEO
2773105120468.0;Комплект чернил ОСР для EPS R2400 (BKP202/203/201/200,CP200,CPL201,YP200,MP200,MPL201), 100 g x9;;6520.0;78.1;;;;;7VEO
2773105120451.0;Комплект чернил ОСР для EPS R2400+RSL(ВКP200/201/202/203,СP/MP/YP200,MPL/CPL201,RSL), 100 g x10;;6680.0;79.87;;;;;7VEO
2773105120482.0;Комплект чернил ОСР для EPS R800/R1800 (EGO,BKP110/111,CP110,YP116,RP110,MP110,VP110), 100 g x8;;5060.0;59.66;;;;;7VEO
2773105120475.0;Комплект чернил ОСР для EPS R800/R1800+RSL(EGO,ВКP110/111,СP/MP/VP/RP110,YP116,RSL), 100 g x9;;5210.0;61.41;;;;;7VEO
2773105120932.0;Комплект чернил ОСР для EPS XP600 (ВКP115, BK/C/M/Y140), повышенной светостойкости, 100 g х5;;2690.0;29.89;;;;;7VEO
2771002140022.0;Комплект чернил ОСР для EPS XP600 (ВКP115, C142,BK/M/Y140), 100 g x5;;2270.0;25.66;;;;;7VEO
2770908100093.0;Чернила ОСР 102 MP для картриджей EPS Dura, 100 g;;570.0;6.41;;;;;7VEO
2770908100109.0;Чернила ОСР 102 YP для картриджей EPS Dura, 100 g;;720.0;8.24;;;;;7VEO
2770908100208.0;Чернила ОСР 110 BKP для картриджей EPS T0541/T0871 (R800/1800/1900/2000), 100 g;;650.0;7.37;;;;;7VEO
2770908100215.0;Чернила ОСР 110 CP для картриджей EPS T0542/T0872 (R800/1800/1900/2000), 100 g;;650.0;7.37;;;;;7VEO
2770908100222.0;Чернила ОСР 110 MP для картриджей EPS T0543/T0873 (R800/1800/1900/2000), 100 g;;650.0;7.37;;;;;7VEO
2770908100444.0;Чернила ОСР 110 OP для картриджей EPS T0879 (R1900/2000), 100 g;;690.0;7.96;;;;;7VEO
2770908100246.0;Чернила ОСР 110 RP для картриджей EPS T0547/T0877 (R800/1800/1900/2000), 100 g;;690.0;7.96;;;;;7VEO
2770908100260.0;Чернила ОСР 110 VP для картриджей EPS T0549 (R800/1800), 100 g;;600.0;6.85;;;;;7VEO
2770908100253.0;Чернила ОСР 111 BKP для картриджей EPS T0548/T0878 (R800/1800/1900/2000), 100 g;;690.0;7.96;;;;;7VEO
2770908100116.0;Чернила ОСР 114 BKP для картриджей EPS T0341, 100 g;;650.0;7.37;;;;;7VEO
2770908100079.0;Чернила ОСР 115 BKP для картриджей EPS Dura, 100 g;;680.0;7.79;;;;;7VEO
2770908100185.0;Чернила ОСР 115 BKP для картриджей EPS T0348 (2100/2200/), 100 g;;800.0;9.17;;;;;7VEO
2770908100086.0;Чернила ОСР 115 CP для картриджей EPS Dura, 100 g;;600.0;6.86;;;;;7VEO
2770908100239.0;Чернила ОСР 116 YP для картриджей EPS T0544/T0874 (R800/1800/1900/2000), 100 g;;650.0;7.37;;;;;7VEO
2770908100130.0;Чернила ОСР 117 MP для картриджей EPS T0343, 100 g;;650.0;7.37;;;;;7VEO
2770908100147.0;Чернила ОСР 117 YP для картриджей EPS T0344 (2100/2200), 100 g;;650.0;7.37;;;;;7VEO
2770908100154.0;Чернила ОСР 118 CPL для картриджей EPS T0345 (2100/2200), 100 g;;600.0;6.85;;;;;7VEO
2770908100161.0;Чернила ОСР 118 MPL для картриджей EPS T0346 (2100/2200), 100 g;;600.0;6.85;;;;;7VEO
2770908100437.0;Чернила ОСР 140 BK (340 edition) для картриджей EPS Clar, 100 g;;610.0;7.37;;;;;7VEO
2770908100024.0;Чернила ОСР 140 C Light-stable для картриджей EPS Clar, 100 g;;640.0;7.35;;;;;7VEO
2770908100048.0;Чернила ОСР 140 M для картриджей EPS Clar, 100 g;;320.0;3.68;;;;;7VEO
2770908100062.0;Чернила ОСР 140 Y для картриджей EPS Clar, 100 g;;320.0;3.68;;;;;7VEO
2770908100031.0;Чернила ОСР 141 CL для картриджей EPS Clar, 100 gr;;300.0;3.43;;;;;7VEO
2770908100055.0;Чернила ОСР 141 ML для картриджей EPS Clar, 100 g;;300.0;3.43;;;;;7VEO
2770908100451.0;Чернила ОСР 142 C для картриджей EPS Clar, 100 g;;260.0;3.12;;;;;7VEO
2770908100352.0;Чернила ОСР 200 BKP для картриджей EPS T0599 (R2400), 100 g;;570.0;6.34;;;;;7VEO
2770908100284.0;Чернила ОСР 200 CP для картриджей EPS T0592 (R2400), 100 g;;880.0;10.53;;;;;7VEO
2770908100291.0;Чернила ОСР 200 MP для картриджей EPS T0593 (R2400), 100 g;;880.0;10.53;;;;;7VEO
2770908100307.0;Чернила ОСР 200 YP для картриджей EPS T0594 (R2400), 100 g;;880.0;10.53;;;;;7VEO
2770908100338.0;Чернила ОСР 201 BKP для картриджей EPS T0597 (R2400), 100 g;;600.0;6.85;;;;;7VEO
2770908100314.0;Чернила ОСР 201 CPL для картриджей EPS T0595 (R2400), 100 g;;730.0;8.48;;;;;7VEO
2770908100321.0;Чернила ОСР 201 MPL для картриджей EPS T0596 (R2400), 100 g;;730.0;8.48;;;;;7VEO
2770908100277.0;Чернила ОСР 202 BKP для картриджей EPS T0591 (R2400), 100 g;;650.0;7.37;;;;;7VEO
2770908100345.0;Чернила ОСР 203 BKP для картриджей EPS T0598 (R2400), 100 g;;790.0;8.99;;;;;7VEO
2770908100529.0;Чернила ОСР 209 VIVID MP для картриджей EPS 11880, 100 g;;1020.0;10.4;;;;;7VEO
2770908100536.0;Чернила ОСР 210 VIVID MPL для картриджей EPS 11880, 100 g;;530.0;5.38;;;;;7VEO
2770908100413.0;Чернила ОСР 61 Y для картриджей EPS R200, 100 g;;300.0;3.5;;;;;7VEO
2770908100390.0;Чернила ОСР 72 M для картриджей EPS R200, 100 g;;300.0;3.5;;;;;7VEO
2770908100369.0;Чернила ОСР 73 BK для картриджей EPS R200, 100 g;;610.0;7.0;;;;;7VEO
2770908100406.0;Чернила ОСР 73 ML для картриджей EPS R200, 100 gr;;300.0;3.24;;;;;7VEO
2770908100376.0;Чернила ОСР 76 C для картриджей EPS R200, 100 g;;300.0;3.5;;;;;7VEO
2770908100383.0;Чернила ОСР 77 CL для картриджей EPS R200, 100 gr;;300.0;3.24;;;;;7VEO
2770908100192.0;Чернила ОСР EGO для картриджей EPS T0540/T0870 (R800/1800/1900/2000), 100 g;;650.0;7.37;;;;;7VEO
;ОСР для НР 0.1 kg;;;;;;;;
2771002140282.0;Комплект чернил OCP для HP #123 (BKP 225, С/M/Y 163), 100 g x4;;1170.0;13.68;;;;;7VHO
2771002140268.0;Комплект чернил OCP для HP #650/651/662/678 (BKP 249, С/M/Y 149), 100 g x4;;1630.0;17.28;;;;;7VHO
2771002140275.0;Комплект чернил OCP для HP #650/651/662/678 SAFE SET (BKP 35, С/M/Y 149), 100 g x4;;1280.0;13.06;;;;;7VHO
2771002140299.0;Комплект чернил OCP для HP #652/664/680  (BKP 225, С/M/Y 162), 100 g x4;;1170.0;13.68;;;;;7VHO
2771002140312.0;Комплект чернил OCP для HP #903/903XL/907 (BKP/СP/MP/YP 227), 100 gr x 4 ;;3230.0;38.52;;;;;7VHO
2771002140084.0;Комплект чернил OCP для HP #934/935 (BKP/СP/MP/YP 225), 100 gr x 4;;3580.0;38.73;;;;;7VHO
2771002140251.0;Комплект чернил OCP для HP #953 (BKP 249/СP/MP/YP 226), 100 gr x 4;;2720.0;34.72;;;;;7VHO
2773105120574.0;Комплект чернил ОСР для HP 61/122/301/502 (BKP249,C/M/Y300), 100 g x4;;1530.0;17.64;;;;;7VHO
2773105120567.0;Комплект чернил ОСР для HP 61/122/301/502 (BKP89,C/M/Y300), 100 g x4;;1410.0;16.3;;;;;7VHO
2773105120581.0;Комплект чернил ОСР для HP 61/122/301/502 +RSL (BKP89,C/M/Y300,RSL), 100 g x5;;1800.0;18.06;;;;;7VHO
2771002140305.0;Комплект чернил ОСР для HP 61/122/301/502 SAFE SET (BK 35,C/M/Y300), 100 g x4;;1170.0;13.42;;;;;7VHO
2771002140138.0;Комплект чернил ОСР для HP 61/122/301/502+ RSL (BKP249,C/M/Y300, RSL), 100 g x5;;1930.0;19.39;;;;;7VHO
2771002140015.0;Комплект чернил ОСР для HP 72 (BKP9142, BK9155, BK9154, C/M/Y9142), 100 g x6;;3760.0;43.59;;;;;7VHO
2773105120895.0;Комплект чернил ОСР для HP 920/178 (BKP89,C143, M143, Y143), 100 g x4;;1520.0;17.61;;;;;7VHO
2773105120611.0;Комплект чернил ОСР для HP K5300 (BKP249,C/M/Y126), 100 g x4;;1630.0;18.95;;;;;7VHO
2773105120635.0;Комплект чернил ОСР для HP №10\№11 (BKP41,C/M/Y120), 100 g x4;;1560.0;17.9;;;;;7VHO
2773105120901.0;Комплект чернил ОСР для HP Pro X451 (BKP/CP/MP/YP260), 100 g x4;;3580.0;43.21;;;;;7VHO
2771002140145.0;Комплект чернил ОСР для HP T7100,T7200 #761 (BKP9151,BK 9152,C/M/Y9151,Grey 9163), 100g x6;;2840.0;33.24;;;;;7YHO
2773105120697.0;Комплект чернил ОСР для HP Viv (BK90,C/M/Y93,ML/CL94), 100 g x6;;1930.0;22.53;;;;;7VHO
2773105120666.0;Комплект чернил ОСР для HP Viv 178 (BKP249,BK143,C/M/Y143), 100 g x5;;1900.0;22.11;;;;;7VHO
2773105120659.0;Комплект чернил ОСР для HP Viv 178 + RSL (BKP249,BK143,C/M/Y143, RSL100), 100 g x6;;2030.0;23.87;;;;;7VHO
2773105120673.0;Комплект чернил ОСР для HP Viv 920 (BKP249,C143, M143, Y143), 100 gr x4;;1630.0;18.95;;;;;7VHO
2773105120680.0;Комплект чернил ОСР для HP Viv 920 + RSL (BKP249,C143, M143, Y143 + RSL), 100 g x5;;1790.0;20.69;;;;;7VHO
2773105120628.0;Комплект чернил ОСР для HP Viv 920 SAFE SET (BK35, C143, M143, Y143), 100 gr x4;;1280.0;14.73;;;;;7VHO
2773105120642.0;Комплект чернил ОСР для HP Viv+RSL (BK90,C/M/Y93,ML/CL94,RSL), 100 g x7;;2380.0;24.27;;;;;7VHO
2773105120918.0;Комплект чернил ОСР для HP#655 (BKP249,C/M/Y343), 100 g x4;;1680.0;19.52;;;;;7VHO
2773105120970.0;Комплект чернил ОСР для HP#655 + RSL (BKP249,C/M/Y343, RSL), 100 g x5;;1830.0;21.26;;;;;7VHO
2773105120925.0;Комплект чернил ОСР для HP#655 SAFE SET(BK35,C/M/Y343), 100 g x4;;1320.0;15.3;;;;;7VHO
2773105120499.0;Комплект чернил ОСР для HP#940 (BKP/CP/MP/YP 272), 100 g x4;;3270.0;39.23;;;;;7VHO
2773105120529.0;Комплект чернил ОСР для HP#940 SAFE SET (BK35,C/M/Y126), 100 g x4;;1280.0;14.73;;;;;7VHO
2771002140152.0;Комплект чернил ОСР для HP#950/951 (BKP/CP/MP/YP280), 100 g x4;;2860.0;33.98;;;;;7VHO
2773105120888.0;Комплект чернил ОСР для HP27/56,28/57 (BKP249,C/M/Y93), 100 g x4;;1910.0;19.45;;;;;7VHO
2773105120536.0;Комплект чернил ОСР для HP27/56,28/57 (BKP249,C760,M758,Y752), 100 g x4;;1630.0;19.08;;;;;7VHO
2772611100315.0;Чернила ОСР 120 C  для картриджей HP#11,13,12,82, 100 g;;320.0;3.68;;;;;7VHO
2772611100322.0;Чернила ОСР 120 M  для картриджей HP#11,13,12,82, 100 g;;320.0;3.68;;;;;7VHO
2772611100339.0;Чернила ОСР 120 Y  для картриджей HP#11,13,12,82, 100 g;;320.0;3.68;;;;;7VHO
2772611100285.0;Чернила ОСР 123 ML для картриджей HP #101, 100 g;;490.0;4.79;;;;;7VHO
2772611100278.0;Чернила ОСР 124 CL для картриджей HP #101, 100 g;;490.0;4.79;;;;;7VHO
2772611100063.0;Чернила ОСР 126 C для картриджей HP#18,88, 100 g;;320.0;3.68;;;;;7VHO
2772611100070.0;Чернила ОСР 126 M для картриджей HP#18,88, 100 g;;320.0;3.68;;;;;7VHO
2772611100087.0;Чернила ОСР 126 Y для картриджей HP#18,88, 100 g;;320.0;3.68;;;;;7VHO
2772611100148.0;Чернила ОСР 143 C для картриджей HP#121,178, 100 g;;320.0;3.68;;;;;7VHO
2772611100155.0;Чернила ОСР 143 M  для картриджей HP#121,178, 100 g;;320.0;3.68;;;;;7VHO
2772611100162.0;Чернила ОСР 143 Y  для картриджей HP#121,178, 100 g;;320.0;3.68;;;;;7VHO
2772611100179.0;Чернила ОСР 143 ВК  для картриджей HP #178, 100 g;;260.0;3.17;;;;;7VHO
2772611100834.0;Чернила ОСР 149 C  для картриджей HP#650, 651, 662, 678 , 100 g;;260.0;3.12;;;;;7VHO
2772611100841.0;Чернила ОСР 149 M для картриджей HP#650, 651, 662, 678 , 100 g;;260.0;3.12;;;;;7VHO
2772611100858.0;Чернила ОСР 149 Y для картриджей HP#650, 651, 662, 678 , 100 g;;260.0;3.12;;;;;7VHO
2772611100773.0;Чернила ОСР 162 C  для картриджей HP# 652, 664, 680, Cyan, 100 g;;260.0;3.12;;;;;7VHO
2772611100780.0;Чернила ОСР 162 M  для картриджей HP# 652, 664, 680, Magenta, 100 g;;260.0;3.12;;;;;7VHO
2772611100797.0;Чернила ОСР 162 Y  для картриджей HP# 652, 664, 680, Yellow, 100 g;;260.0;3.12;;;;;7VHO
2772611100803.0;Чернила ОСР 163 C  для картриджей HP#123, 100 g;;260.0;3.12;;;;;7VHO
2772611100810.0;Чернила ОСР 163 M для картриджей HP#123, 100 g;;260.0;3.12;;;;;7VHO
2772611100827.0;Чернила ОСР 163 Y для картриджей HP#123, 100 g;;260.0;3.12;;;;;7VHO
2772611100643.0;Чернила ОСР 225 BKP для картриджей НР#934, 100 g;;410.0;4.31;;;;;7VHO
2772611100650.0;Чернила ОСР 225 CP для картриджей НР#934, 100 g;;1060.0;11.47;;;;;7VHO
2772611100667.0;Чернила ОСР 225 MP для картриджей НР#934, 100 g;;1060.0;11.47;;;;;7VHO
2772611100674.0;Чернила ОСР 225 YP для картриджей НР#934, 100 g;;1060.0;11.47;;;;;7VHO
2772611100742.0;Чернила ОСР 226 CP для картриджей НР#953/953 XL, 100 g;;690.0;8.95;;;;;7VHO
2772611100759.0;Чернила ОСР 226 MP для картриджей НР#953/953 XL, 100 g;;690.0;8.95;;;;;7VHO
2772611100766.0;Чернила ОСР 226 YP для картриджей НР#953/953 XL, 100 g;;690.0;8.95;;;;;7VHO
2772611100865.0;Чернила ОСР 227 BKP для картриджей НР#903/903XL/907, 100 g ;;590.0;7.9;;;;;7VHO
2772611100872.0;Чернила ОСР 227 CP для картриджей НР#903/903XL, 100 g ;;880.0;10.21;;;;;7VHO
2772611100889.0;Чернила ОСР 227 MP для картриджей НР#903/903XL, 100 g ;;880.0;10.21;;;;;7VHO
2772611100896.0;Чернила ОСР 227 YP для картриджей НР#903/903XL, 100 g ;;880.0;10.21;;;;;7VHO
2772611100094.0;Чернила ОСР 249 BKP Pigment для картриджей HP#21,27,56,129-132,140,121,178, 100 g;;690.0;7.9;;;;;7VHO
2772611100551.0;Чернила ОСР 260 BKP для НР, 100 g;;750.0;8.8;;;;;7VHO
2772611100568.0;Чернила ОСР 260 CP для НР, 100 g;;960.0;11.46;;;;;7VHO
2772611100575.0;Чернила ОСР 260 MP для НР, 100 g;;960.0;11.46;;;;;7VHO
2772611100582.0;Чернила ОСР 260 YP для НР, 100 g;;960.0;11.46;;;;;7VHO
2772611100056.0;Чернила ОСР 272 BKP  для картриджей НР#940, 100 g;;700.0;8.0;;;;;7VHO
2772611100025.0;Чернила ОСР 272 CР  для картриджей НР#940, 100 g;;880.0;10.41;;;;;7VHO
2772611100049.0;Чернила ОСР 272 YР  для картриджей НР#940, 100 g;;880.0;10.41;;;;;7VHO
2772611100032.0;Чернила ОСР 272 МР  для картриджей НР#940, 100 g;;880.0;10.41;;;;;7VHO
2772611100520.0;Чернила ОСР 280 CP для картриджей НР#950/950XL, 100 g;;830.0;9.71;;;;;7VHO
2772611100537.0;Чернила ОСР 280 MP для картриджей НР#950/950XL, 100 g;;830.0;9.71;;;;;7VHO
2772611100544.0;Чернила ОСР 280 YP для картриджей НР#950/950XL, 100 g;;830.0;9.71;;;;;7VHO
2772611100513.0;Чернила ОСР 280 ВКP для картриджей НР#950/950XL, 100 g;;420.0;4.85;;;;;7VHO
2772611100414.0;Чернила ОСР 300 C для НР, 100 g;;300.0;3.24;;;;;7VHO
2772611100421.0;Чернила ОСР 300 M для НР, 100 g;;300.0;3.24;;;;;7VHO
2772611100438.0;Чернила ОСР 300 Y для НР, 100 g;;300.0;3.24;;;;;7VHO
2772611100599.0;Чернила ОСР 343 C  для картриджей HP#655, 100 g;;330.0;3.87;;;;;7VHO
2772611100605.0;Чернила ОСР 343 M для картриджей HP#655, 100 g;;330.0;3.87;;;;;7VHO
2772611100612.0;Чернила ОСР 343 Y  для картриджей HP#655, 100 g;;330.0;3.87;;;;;7VHO
2772611100018.0;Чернила ОСР 35 ВК для картриджей НР#45,15,84, CANON SAFE/PHOTO sets, псевдопигмент, 100 g;;320.0;3.68;;;;;C7VHO
2772611100391.0;Чернила ОСР 41 BKP для картриджей HP #10,13,45,15,40,82 100 g;;610.0;6.85;;;;;7VHO
2772611100384.0;Чернила ОСР 50 BK для HP, 100 g;;570.0;6.56;;;;;7VHO
2772611100131.0;Чернила ОСР 752 Y для HP #28, #57, 100 g;;320.0;3.73;;;;;7VHO
2772611100124.0;Чернила ОСР 758 M для HP #28, #57, 100 g;;320.0;3.73;;;;;7VHO
2772611100117.0;Чернила ОСР 760 C для HP #28, #57, 100 g;;320.0;3.73;;;;;7VHO
2772611100308.0;Чернила ОСР 770 Y для HP, 100 g;;350.0;3.99;;;;;7VHO
2772611100254.0;Чернила ОСР 776 M для HP, 100 g;;360.0;3.99;;;;;7VHO
2772611100247.0;Чернила ОСР 780 C для HP, 100 g;;330.0;3.83;;;;;7VHO
2772611100360.0;Чернила ОСР 81 CL для HP, 100 g;;350.0;3.83;;;;;7VHO
2772611100346.0;Чернила ОСР 89 BKP для НР, 100 g;;570.0;6.56;;;;;7VHO
2772611100186.0;Чернила ОСР 90 BK для картриджей HP Viv #177, 100 g;;390.0;4.4;;;;;7VHO
2772611100469.0;Чернила ОСР 9142 BKР (Matte Black) для картриджей HP, 100 g;;930.0;10.74;;;;;7VHO
2772611100476.0;Чернила ОСР 9142 C  для картриджей HP 72, 100 g;;600.0;6.72;;;;;7VHO
2772611100483.0;Чернила ОСР 9142 M  для картриджей HP 72, 100 g;;600.0;6.72;;;;;7VHO
2772611100490.0;Чернила ОСР 9142 Y  для картриджей HP 72, 100 g;;600.0;6.72;;;;;7VHO
2772611100681.0;Чернила ОСР 9151 BKP (Matte Black) для картриджей HP#761, 100 g;;710.0;8.23;;;;;7VHO
2772611100711.0;Чернила ОСР 9151 C для картриджей HP#761, 100 g;;440.0;5.14;;;;;7VHO
2772611100704.0;Чернила ОСР 9151 M для картриджей HP#761, 100 g;;440.0;5.14;;;;;7VHO
2772611100698.0;Чернила ОСР 9151 Y для картриджей HP#761, 100 g;;440.0;5.14;;;;;7VHO
2772611100728.0;Чернила ОСР 9152 BK (Grey) для картриджей HP#761, 100 g;;410.0;4.79;;;;;7VHO
2772611100445.0;Чернила ОСР 9154 ВК  (Photo Black) для картриджей HP 72, 100 g;;570.0;6.34;;;;;7VHO
2772611100452.0;Чернила ОСР 9155 ВК (Grey) для картриджей HP 72, 100 g;;570.0;6.34;;;;;7VHO
2772611100735.0;Чернила ОСР 9163 BK (Dark Grey) для картриджей HP#761, 100 g;;420.0;4.79;;;;;7VHO
2772611100193.0;Чернила ОСР 93 C для картриджей HP Viv 177, 100 g;;330.0;3.85;;;;;7VHO
2772611100209.0;Чернила ОСР 93 M для картриджей HP Viv 177, 100 g;;330.0;3.85;;;;;7VHO
2772611100216.0;Чернила ОСР 93 Y для картриджей HP Viv #177, 100 g;;330.0;3.85;;;;;7VHO
2772611100223.0;Чернила ОСР 94 CL для картриджей HP Viv #177, 100 g;;300.0;3.3;;;;;7VHO
2772611100230.0;Чернила ОСР 94 ML для картриджей HP Viv #177, 100 g;;300.0;3.3;;;;;7VHO
;ОСР сервисные жидкости 0.1 kg;;;;;;;;
2772511100057.0;OCP CCF жидкость для промывки СНПЧ (светло-голубая), 100 g;;230.0;2.4;;;;;VOA
2772511100040.0;OCP CFR промывочные жидкость  (красная), 100 g;;120.0;1.32;;;;;VO
2772511100064.0;OCP CRS сервисная жидкость ОСР (1:3), 100 g;;330.0;3.48;;;;;VO
2772511100088.0;OCP ECI, Epson Cleaning Ink-жидкость для реанимации печатающих головок принтеров EPSON (синяя) 100 g;;190.0;2.09;;;;;VEO
2772511100026.0;OCP LCF III, Lexmark Cleaning Fluid - жидкость для отмачивания пигментных чернил (бесцветная), 100 g;;290.0;2.74;;;;;7VO
2772511100033.0;OCP NRC, Nozzle Rocket colourless - отмачивающая жидкость ОСР (бесцветная), 100 g;;190.0;2.09;;;;;VO
2772511100071.0;OCP PIW, Pure Ink Water - промышленно очищенная вода ОСР (бесцветная), 100 g;;120.0;1.32;;;;;VO
2772511100019.0;OCP RSL, Rinse Solution Liquid- базовая сервисная жидкость ОСР (желтого цвета), 100 g;;170.0;1.74;;;;;VO
;OCP 0,5 kg;;;;;;;;
;ОСР для BROTHER 0.5 kg;;;;;;;;
2773205120924.0;Комплект чернил ОСР для BROTHER (BKP45, C/M/Y512) 500 g x4;;5300.0;66.07;;;;;7XRO
2773205121211.0;Комплект чернил ОСР для BROTHER (BKP45, C/M/Y513) 500 g x4;;5300.0;66.07;;;;;7XRO
