Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
;Чернила OCP;;;;;;;;
;OCP 0,025 kg;;;;;;;;
;OCP для BROTHER 0.025 kg;;;;;;;;
2772905120968.0;Комплект чернил ОСР для BROTHER (BKP45, C/M/Y512), 25 g x4;;760.0;7.8;;;;;7RO
2771111150776.0;Комплект чернил ОСР для BROTHER (BKP45, C/M/Y513), 25 g x4;;760.0;7.8;;;;;7RO
2771111150011.0;Чернила ОСР 45 ВКР для картриджей BROTHER, 25 g;;360.0;3.56;;;;;7RO
2771111150042.0;Чернила ОСР 512 C для картриджей BROTHER, 25 g;;140.0;1.41;;;;;7RO
2771111150028.0;Чернила ОСР 512 Y для картриджей BROTHER, 25 g;;140.0;1.41;;;;;7RO
2771111150035.0;Чернила ОСР 512 М для картриджей BROTHER, 25 g;;140.0;1.41;;;;;7RO
2771111151117.0;Чернила ОСР 513 C для картриджей BROTHER, 25 g;;140.0;1.41;;;;;7RO
2771111151131.0;Чернила ОСР 513 Y для картриджей BROTHER, 25 g;;140.0;1.41;;;;;7RO
2771111151124.0;Чернила ОСР 513 М для картриджей BROTHER, 25 g;;140.0;1.41;;;;;7RO
;OCP для CANON 0.025 kg;;;;;;;;
2772905120999.0;Комплект чернил OCP для CAN Maxify PGI-1400/2400XL (BKP/CP/MP/YP 230), 25 gr x 4;;1320.0;15.38;;;;;C7O
2772905120043.0;Комплект чернил ОСР 3600 new PGI-520/CLI-521, PGI-425/CLI-426 (BKP44,BK124,C154,M/Y144), 25 g x 5;;1300.0;13.07;;;;;C7O
2772905120050.0;Комплект чернил ОСР для CAN 3600 new + RSL (BKP44,BK124,C154,M/Y144, RSL100), 25 g x6;;1380.0;13.85;;;;;C7O
2772905120753.0;Комплект чернил ОСР для CAN 3600/4600 ECO SET NON STOP ( PGI-521/CLI-521)(C795,M/Y144/BK124/BK35), 25 gx5;;960.0;9.51;;;;;C7O
2772905120760.0;Комплект чернил ОСР для CAN 3600/4600 ECO SET NON STOP+RSL (C795,M/Y144/BK124/BK35,RSL), 25 gx6;;1030.0;10.29;;;;;C7O
2772905120067.0;Комплект чернил ОСР для CAN 3600/4600 new SAFE SET (C154,M/Y144/BK124/BK35), 25 g x5;;1120.0;11.18;;;;;C7O
2772905120074.0;Комплект чернил ОСР для CAN 3600/4600 new SAFE SET+RSL (C154,M/Y144/BK124/BK35,RSL), 25 g x6;;1190.0;11.96;;;;;C7O
2772905120081.0;Комплект чернил ОСР для CAN 4200 (BKP 44, BK 797, C/M/Y 122) , 25 g x5;;1060.0;10.68;;;;;C7O
2772905120920.0;Комплект чернил ОСР для CAN 4200 ECO SET NON STOP ( PGI-5/CLI-8)(C795,M/Y122/BK797/BK35), 25 gx5;;880.0;8.79;;;;;C7O
2772905120111.0;Комплект чернил ОСР для CAN 4200 SAFE SET (BK35, BK 797, C/M/Y 122) , 25 g x5;;880.0;8.79;;;;;C7O
2772905120708.0;Комплект чернил ОСР для CAN 440/441 (BKP44,C/M/Y710), 25 g x4;;790.0;7.77;;;;;C7O
2772905120739.0;Комплект чернил ОСР для CAN 440/441 SAFE SET (BK35,C/M/Y710), 25 g x4;;600.0;5.88;;;;;C7O
2772905120951.0;Комплект чернил ОСР для CAN 440/441+RSL (BKP44,C/M/Y710,RSL), 25 g x5;;850.0;8.55;;;;;C7O
2771111150622.0;Комплект чернил ОСР для CAN 445/446 принтеров MG 2540/2440; IP (BKP44,C/M/Y136), 25 g x4;;750.0;7.56;;;;;C7O
2772905120715.0;Комплект чернил ОСР для CAN 510/511  (BKP 44,C/M/Y712), 25 g x4;;790.0;7.77;;;;;C7O
2772905120746.0;Комплект чернил ОСР для CAN 510/511 SAFE SET (BK35,C/M/Y712), 25 g x4;;600.0;5.88;;;;;C7O
